year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,22.2071618145278,3.608380265,2.88990640146838,11394.484743626197,-7144573582.78567,-3.37567028973601,79.5836674442647,5.70008923676049,40437.77457911911,35020.0,145668071091.729,4.34240007400513,74.00000095367432,344.79998779296875,30045.540550250487,0.0,10.513271079582,1.0,1.735597,1.29988,1.0,1.489262,1.6238549999999998,33.7,0.893,454060.0,103.07785,109.7843,58.86932,317337.0,47.32649993896485,1.1928
2006-01-01,9.509537295434427,3.5530258000000003,3.20365263829232,11262.391229182384,-7862125526.79035,-3.38762842916461,79.00157087484459,5.070901036887411,44204.9969040869,38770.0,165676630536.90198,4.4145998954772905,74.00000095367432,272.70001220703125,30034.94859018091,0.0,10.5839730933246,1.0,1.536329,1.191983,1.0,1.837013,1.396541,32.7,0.895,461588.0,102.99924,109.60344,58.44118,313479.0,50.45650100708008,1.19835
2007-01-01,22.204805880147802,3.472362586,3.55636727600881,11139.042069661298,-13848550480.3311,-5.13065204270603,80.7824180853658,5.324267240463531,46759.714841514,40430.0,177850339150.471,4.98010015487671,75.0,313.79998779296875,30025.733591235105,0.0,10.6530923607301,1.0,1.560755,1.214467,1.0,1.849392,1.397142,31.9,0.899,475836.0,103.30853,111.2345,58.30199,316015.0,57.1078987121582,1.23325
2008-01-01,8.46705199684734,3.461109604,4.1533712191485,11024.437265062934,-15302982165.932,-5.5639338247877514,84.1149719738456,-4.48038333458845,44283.7301119233,38350.0,172166895124.87198,6.77360010147095,76.99999809265138,287.70001220703125,30017.895553412884,0.0,10.734504985651801,1.0,1.500238,1.18624,1.0,1.91417,1.42259,30.9,0.9,486921.0,102.4756,111.29397,54.01747,318382.0,52.26729965209961,1.38776
2009-01-01,22.839848732027804,3.32222477,5.24675647912276,10918.298798144431,-5007385900.33075,-2.1189328266413,93.2367060731826,-5.07921267285931,41621.718321538996,34790.0,157804241154.413,12.608900070190401,80.0,199.8999938964844,30011.41866655027,0.0,10.849432738483,1.0,1.33617,1.056545,1.0,1.698822,1.353574,32.7,0.8959999999999999,498838.0,102.79597,114.39266,56.50398000000001,326543.0,54.67789840698242,1.6082299999999998
2010-01-01,16.9924224381354,3.387963338,5.273538143141541,10821.206660528294,2319661324.96392,1.04419279811479,103.01929018228701,1.80997974398586,43295.0179148943,36270.0,165411181538.896,14.532799720764196,80.0,100.0,30006.338323471566,0.0,11.009895876904599,1.0,1.349588,1.020165,1.0,1.620827,1.324432,32.3,0.89,506400.0,103.2355,118.0969,63.12644,336464.0,52.68410110473633,1.59294
2011-01-01,9.97983607259287,3.4421073680000003,6.70936460707383,10732.858877834884,2829018505.41802,1.19130431984174,103.79102058655899,0.34344079539812394,44855.3247012361,36450.0,166937837412.043,15.3528003692627,75.36038875579834,37.099998474121094,30002.63494151648,0.0,11.313463752190401,1.0,1.455905,0.9489989,1.0,1.600839,1.305361,32.9,0.894,511466.0,103.3787,115.8337,67.79859,331047.0,57.356300354003906,1.55049
2012-01-01,18.1981700726272,3.313234977,6.61854861056846,10653.2554500642,9240448060.17682,4.10687522104301,104.509633606792,0.225714843002336,46256.568882576394,37310.0,171626952198.59302,15.4506998062134,69.0,12.5,30000.0,0.0,11.6553368583555,1.0,1.547128,0.9410727,1.0,1.571007,1.3225209999999998,33.2,0.899,518223.0,102.1183,117.7522,68.19725,340829.0,62.22719955444336,1.55723
2013-01-01,20.9464880058703,3.3803740560000004,7.4047668809701515,10582.21425415646,14436274710.2326,6.0518405923990715,103.66414764554399,1.35163400394072,47897.291662585594,40480.0,187172886537.447,13.734800338745101,72.0,17.399999618530273,30000.0,246.0,12.0257909244268,1.0,1.485336,0.9010757,1.0,1.582879,1.311735,33.5,0.9079999999999999,515676.0,101.9583,116.87957914649733,71.69955,345479.65828623873,56.30699920654297,1.56027
2014-01-01,33.584292353226104,3.419455983,8.52066979093462,10520.123493368,8918824411.845041,3.4505975020643995,110.02549677539301,8.556687985134031,51067.9767132391,43230.0,201368611217.265,11.8572998046875,74.0,11.399999618530273,30000.0,598.0,12.407420695402699,1.0,1.597105,1.052991,1.0,1.764863,1.317501,31.9,0.92,525141.0,101.5422,116.7391,73.81323,348116.0,63.07730102539063,1.5017200000000002
2015-01-01,80.79113738467191,3.462581309,9.08139901337063,10801.776472013036,31682331969.6243,10.868731523696301,121.965038601737,25.1625330527198,69056.0460368695,52990.0,249135028148.082,9.90620040893555,75.0,40.599998474121094,30000.0,503.0,12.7910713230197,1.0,1.533082,0.9084555,1.0,1.818874,1.334674,31.8,0.9259999999999999,532931.0,101.1846,116.9899,77.23215,354670.0,61.08570098876953,1.19563
2016-01-01,26.350678658639804,3.373138994,8.07489108527787,10727.529638834618,14349608167.5609,4.77487378741154,120.815306582385,3.67781581095514,70522.225919013,57920.0,275448712001.61,8.37390041351318,73.0,56.599998474121094,30517.3,739.0,13.1475948932009,1.0,1.331621,0.8478189,1.0,1.740965,1.290975,33.88740291595459,0.9359999999999999,540955.0,101.3415,117.0287,77.55714,360088.0,62.20840072631836,1.15245
2017-01-01,17.4118538087682,3.4903278173919925,8.615032451610302,10686.982353429921,3397575466.98325,1.01470440892676,121.042588526693,8.145296156019171,77596.3550528709,61170.0,294054946448.367,6.71239995956421,74.0,79.85268732841254,23974.0,613.0,13.5066550900967,1.0,1.290977,1.002215,1.0,1.585116,1.293333,34.08837702717451,0.9390000000000001,545364.0,100.8528,125.3071,77.78062,392294.0,67.15010070800781,1.04382
2018-01-01,16.872651414904098,3.473567016264356,9.85815052092572,10515.686912713023,40900554448.0038,10.6933051303362,122.32608520648,8.16987093310331,83203.3946770927,67050.0,325434657416.832,5.74049997329712,73.0,78.41998286421392,24370.0,565.0,13.8658017012923,1.0,1.420338,1.030591,1.0,1.595356,1.31875,32.55536134879747,0.9420000000000001,524418.0425720215,102.50132712607383,118.03133333665252,74.94186166981876,350805.80045336485,63.63949966430664,1.609001735036373
