year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,12.436662671723301,1.695063265,1.89107255726593,2157.441457703825,4104514088.98152,10.9900948450338,161.676408809019,3.17244278079178,68220.06448185741,63000.0,29304952011.0148,4.48820018768311,85.0,140.10000610351562,500.0,14.4206953490505,1.0,1.777105,1.332353,1.0,1.639679,1.581918,30.8,0.88,35016.0,100.80898,95.36266,9.290926587560946,35946.0,66.57219696044922,1.57171
2006-01-01,75.9638340718709,1.674457139,2.0922703686078,2120.820399234207,4211880596.10862,9.93032960598507,176.246890384932,5.17848586333136,77951.3647387768,63450.0,29989597043.7305,4.73070001602173,86.00000381469727,126.0999984741211,0.0,14.333455037477698,1.0,1.571362,1.400937,1.0,1.674969,1.547201,30.9,0.884,35431.0,101.46625,95.90557,10.3312,37009.0,64.43949890136719,1.66674
2007-01-01,-58.322880479127996,1.619489536,3.63501508063994,2083.36371572085,4990207754.8182,9.80623049492325,182.88800109072704,8.35455327716321,83981.7358747083,72700.0,34893624479.4315,4.065199851989751,83.99999618530273,146.8000030517578,419.0,14.2294936988724,1.0,1.592555,1.482909,1.0,1.7364,1.537699,31.1,0.888,35668.0,101.52278,96.71695,10.770167759543826,38209.0,65.98539733886719,1.59123
2008-01-01,12.743335315365501,1.659820588,3.96635215639555,2045.0714071637535,4357316567.77322,7.8018639634629405,187.111880717512,-1.27958558128132,86693.8951220862,71610.0,34990188934.9977,5.060100078582759,83.00000190734862,120.0999984741211,423.0,14.125936074000098,1.0,1.625627,1.512313,1.0,1.65793,1.545579,32.6,0.89,35630.0,100.57301,97.48297,10.60734,39349.0,73.38359832763672,1.62293
2009-01-01,53.0559977522147,1.624640211,3.7371623657835,2005.835125916852,3549715834.76283,6.91002199547968,164.06950660063498,-4.35860695207019,82278.1973939736,55730.0,27740237256.596,5.12239980697632,81.99999809265138,113.1999969482422,378.0,14.042539479222699,1.0,1.74732,1.450533,1.0,1.646159,1.555082,31.2,0.885,35423.55092453075,98.09617172402929,99.14103306508616,14.554543552369859,41042.51317764181,75.69339752197266,1.6775
2010-01-01,73.5326207445863,1.534753413,3.659683025938061,1965.8692778885966,3583714365.18471,6.73472572574677,174.52309000798698,4.8649684924216,85613.586610591,61750.0,31304552603.8336,4.36079978942871,85.0,100.0,459.0,13.9930181594797,1.0,1.721774,1.461219,1.0,1.676335,1.574836,30.5,0.893,35187.0,97.56551,101.2907,18.26521,42536.0,74.38909912109375,1.5025700000000002
2011-01-01,14.737457229941098,1.434081155,3.7332960151840098,1925.0678048166023,3587036822.1696897,5.97793338306829,177.989656164445,2.53923488261137,92005.0168361444,63530.0,32928110626.5723,4.90150022506714,85.07029533386229,121.6999969482422,492.0,13.955714057388,1.0,1.748484,1.317427,1.0,1.865481,1.604539,32.1,0.892,35099.0,96.55315,101.0225,18.378153517532187,43177.0,66.33070373535156,1.46277
2012-01-01,44.9864120669659,1.402536564,4.14785683220779,1883.4307067008701,3208057139.6205893,5.66014909229208,186.44430739460495,-0.352519229052419,91622.17741693881,63710.0,33825803107.6655,5.14010000228882,80.0,127.8000030517578,512.0,13.9397238804424,1.0,1.6720720000000002,1.331919,1.0,1.7674169999999998,1.6499009999999998,34.3,0.892,35397.0,97.17509,100.3607,19.4322,44237.0,66.55269622802734,1.27267
2013-01-01,25.9206816368786,1.410811591,5.72319945121627,1840.8404720883218,3427890489.66947,5.55219704586774,190.62858229196098,3.6543702591865497,95590.5386984251,63840.0,34690043272.6355,5.847599983215329,80.0,96.1999969482422,662.0,13.942605426127999,1.0,1.629902,1.335248,1.0,1.780547,1.631096,32.0,0.892,35250.0,96.83534,102.7363,20.12621844657357,46256.0,59.33420181274414,1.30266
2014-01-01,28.5422075233717,1.369609015,6.88323194465757,1797.52983450143,3344743190.08255,5.059830896851111,212.607099406063,4.2967863498963705,101297.575745297,67290.0,37434314552.7056,5.8523998260498,82.0,180.8000030517578,601.0,13.961003830367401,1.0,1.6544330000000005,1.378324,1.0,1.630896,1.554682,31.2,0.895,35435.0,97.52305,102.7084,20.3702251526111,46872.0,70.14219665527344,1.25978
2015-01-01,21.6379759745323,1.35211397,9.03131366096732,1958.4859967434802,2949098683.87573,5.10715450162811,221.196586443064,4.30643253786916,103750.775104054,67590.0,38500383076.5302,6.66860008239746,85.0,121.0,734.0,13.994223110733099,1.0,1.7240779999999998,1.439398,1.0,1.6580290000000002,1.54681,33.8,0.899,35920.0,98.97225,102.3194,19.77631,47027.0,72.08390045166016,1.27116
2016-01-01,52.5246911735683,1.237705805,5.783446449293747,1967.894581048315,2957525196.52385,4.87304812592946,213.03569290618302,4.57460028278058,108165.76140617301,68870.0,40080661354.2617,6.2906999588012695,81.0,150.60000610351562,782.0,14.042301955585,1.0,1.692346,1.419485,1.0,1.722079,1.500211,32.2483551800251,0.904,36626.0,100.7898,103.6652,19.56393,47715.0,78.2488021850586,1.30252
2017-01-01,-10.618791251517301,1.5746058547040178,6.013909306186424,1897.4098979073542,3335727845.34828,5.21016878583251,217.621360613456,1.80118170327937,110589.192416989,71310.0,42522310028.1371,5.52159976959229,82.0,111.33867990516956,703.0,14.1067054112956,1.0,1.6831470000000002,1.325734,1.0,1.691277,1.520515,32.846448838710785,0.9079999999999999,37452.0,102.2859,103.6551,19.151770000000006,48211.0,77.06800079345703,1.2543
2018-01-01,-7.92129140628296,1.5906971369721097,7.013591833193187,1868.128174674251,3426284902.8119,4.83356020463617,211.559048709607,3.11083626560442,113337.42049470301,72200.0,43877541657.491,5.5854001045227095,81.0,154.54091676568714,705.0,14.183154184147199,1.0,1.7782209999999998,1.373404,1.0,1.757206,1.566906,31.945865303277966,0.909,35766.45982128382,97.62828690421358,102.932055064826,21.085700381220384,46869.41001307964,65.27890014648439,1.4069492285251617
